,Time,rep,baseline,variable,value,glucose,inoc,glucose_conc,inoc_name
1,0.840366397,x,yes,E2,-1.423469555,0,7,E,2
2,1.090366397,x,yes,E2,-1.219986682,0,7,E,2
3,1.340366397,x,yes,E2,-0.821266391,0,7,E,2
4,1.590366397,x,yes,E2,1.160008036,0,7,E,2
5,1.840366397,x,yes,E2,3.824417646,0,7,E,2
6,2.090366397,x,yes,E2,7.274909665,0,7,E,2
7,2.340366397,x,yes,E2,10.28408673,0,7,E,2
8,2.590366397,x,yes,E2,14.20825701,0,7,E,2
9,2.840366397,x,yes,E2,19.18373278,0,7,E,2
10,3.090366397,x,yes,E2,21.69499671,0,7,E,2
11,3.340366397,x,yes,E2,22.53778085,0,7,E,2
12,3.590366397,x,yes,E2,23.05646078,0,7,E,2
13,3.840366397,x,yes,E2,20.89387772,0,7,E,2
14,4.090366397,x,yes,E2,17.24834425,0,7,E,2
15,4.340366397,x,yes,E2,14.30535817,0,7,E,2
16,4.590366397,x,yes,E2,12.53631205,0,7,E,2
17,4.840366397,x,yes,E2,11.42822842,0,7,E,2
18,5.090366397,x,yes,E2,10.52410395,0,7,E,2
19,5.340366397,x,yes,E2,9.49145858,0,7,E,2
20,5.590366397,x,yes,E2,8.650497591,0,7,E,2
21,5.840366397,x,yes,E2,7.758924731,0,7,E,2
22,6.090366397,x,yes,E2,7.014096203,0,7,E,2
23,6.340366397,x,yes,E2,6.338881779,0,7,E,2
24,6.590366397,x,yes,E2,5.699275747,0,7,E,2
25,6.840366397,x,yes,E2,5.158140202,0,7,E,2
26,7.090366397,x,yes,E2,4.709988414,0,7,E,2
27,7.340366397,x,yes,E2,4.267605536,0,7,E,2
28,7.590366397,x,yes,E2,3.838891423,0,7,E,2
29,7.840366397,x,yes,E2,3.470881807,0,7,E,2
30,8.090366397,x,yes,E2,3.044904605,0,7,E,2
31,8.340366397,x,yes,E2,2.580050029,0,7,E,2
32,8.590366397,x,yes,E2,2.023651819,0,7,E,2
33,8.840366397,x,yes,E2,1.509999552,0,7,E,2
34,9.090366397,x,yes,E2,0.951421392,0,7,E,2
35,9.340366397,x,yes,E2,0.400560354,0,7,E,2
36,9.590366397,x,yes,E2,-0.038254714,0,7,E,2
37,9.840366397,x,yes,E2,-0.507194526,0,7,E,2
38,10.0903664,x,yes,E2,-0.919745064,0,7,E,2
39,10.3403664,x,yes,E2,-1.28753927,0,7,E,2
40,10.5903664,x,yes,E2,-1.738081404,0,7,E,2
41,10.8403664,x,yes,E2,-2.137952907,0,7,E,2
42,11.0903664,x,yes,E2,-2.564349033,0,7,E,2
43,11.3403664,x,yes,E2,-2.993363224,0,7,E,2
44,11.5903664,x,yes,E2,-3.433398201,0,7,E,2
45,11.8403664,x,yes,E2,-3.912664988,0,7,E,2
46,12.0903664,x,yes,E2,-4.445696354,0,7,E,2
47,12.3403664,x,yes,E2,-4.849719493,0,7,E,2
48,12.5903664,x,yes,E2,-5.267968602,0,7,E,2
49,12.8403664,x,yes,E2,-5.622529708,0,7,E,2
50,13.0903664,x,yes,E2,-5.988702151,0,7,E,2
51,13.3403664,x,yes,E2,-6.379065019,0,7,E,2
52,13.5903664,x,yes,E2,-6.700422966,0,7,E,2
53,13.8403664,x,yes,E2,-6.954585593,0,7,E,2
54,14.0903664,x,yes,E2,-7.235388184,0,7,E,2
55,14.3403664,x,yes,E2,-7.560572999,0,7,E,2
56,14.5903664,x,yes,E2,-7.81748451,0,7,E,2
57,14.8403664,x,yes,E2,-8.063124283,0,7,E,2
58,15.0903664,x,yes,E2,-8.253811042,0,7,E,2
59,15.3403664,x,yes,E2,-8.502152858,0,7,E,2
60,15.5903664,x,yes,E2,-8.709206802,0,7,E,2
61,15.8403664,x,yes,E2,-8.91950488,0,7,E,2
62,16.0903664,x,yes,E2,-9.113623961,0,7,E,2
63,16.3403664,x,yes,E2,-9.330044816,0,7,E,2
64,16.5903664,x,yes,E2,-9.493732209,0,7,E,2
65,16.8403664,x,yes,E2,-9.701000407,0,7,E,2
66,17.0903664,x,yes,E2,-9.844217615,0,7,E,2
67,17.3403664,x,yes,E2,-9.987895682,0,7,E,2
68,17.5903664,x,yes,E2,-10.16771619,0,7,E,2
69,17.8403664,x,yes,E2,-10.27372803,0,7,E,2
70,18.0903664,x,yes,E2,-10.46120397,0,7,E,2
71,18.3403664,x,yes,E2,-10.59201605,0,7,E,2
72,18.5903664,x,yes,E2,-10.6871195,0,7,E,2
73,18.8403664,x,yes,E2,-10.84068526,0,7,E,2
74,19.0903664,x,yes,E2,-10.94053005,0,7,E,2
75,19.3403664,x,yes,E2,-11.07922449,0,7,E,2
76,19.5903664,x,yes,E2,-11.16028689,0,7,E,2
77,19.8403664,x,yes,E2,-11.29549408,0,7,E,2
78,20.0903664,x,yes,E2,-11.39008426,0,7,E,2
79,20.3403664,x,yes,E2,-11.47810037,0,7,E,2
80,20.5903664,x,yes,E2,-11.5580504,0,7,E,2
81,20.8403664,x,yes,E2,-11.65291932,0,7,E,2
82,21.0903664,x,yes,E2,-11.74117258,0,7,E,2
83,21.3403664,x,yes,E2,-11.84014608,0,7,E,2
84,21.5903664,x,yes,E2,-11.94227035,0,7,E,2
85,21.8403664,x,yes,E2,-12.02154646,0,7,E,2
86,22.0903664,x,yes,E2,-12.101157,0,7,E,2
87,22.3403664,x,yes,E2,-12.19065143,0,7,E,2
88,22.5903664,x,yes,E2,-12.21365645,0,7,E,2
89,22.8403664,x,yes,E2,-12.28207394,0,7,E,2
90,23.0903664,x,yes,E2,-12.36767713,0,7,E,2
91,23.3403664,x,yes,E2,-12.39123848,0,7,E,2
92,23.5903664,x,yes,E2,-12.49072345,0,7,E,2
93,23.8403664,x,yes,E2,-12.51038944,0,7,E,2
94,24.0903664,x,yes,E2,-12.59323275,0,7,E,2
95,24.3403664,x,yes,E2,-12.63113526,0,7,E,2
96,24.5903664,x,yes,E2,-12.70930681,0,7,E,2
97,24.8403664,x,yes,E2,-12.76458328,0,7,E,2
98,25.0903664,x,yes,E2,-12.78364792,0,7,E,2
99,25.3403664,x,yes,E2,-12.85281056,0,7,E,2
100,25.5903664,x,yes,E2,-12.93592516,0,7,E,2
101,0.831919371,xi,yes,E2,-0.436414297,0,7,E,2
102,1.081919371,xi,yes,E2,1.22240056,0,7,E,2
103,1.331919371,xi,yes,E2,4.118196195,0,7,E,2
104,1.581919371,xi,yes,E2,8.180379148,0,7,E,2
105,1.831919371,xi,yes,E2,14.4177967,0,7,E,2
106,2.081919371,xi,yes,E2,21.78203196,0,7,E,2
107,2.331919371,xi,yes,E2,26.39335189,0,7,E,2
