"","Time","rep","exp","variable","value","strain_name","inoc_name","inoc","strain"
"1",3004.305558,1,"CS","B2",-0.091682428,"B",2,"7","11016"
"2",3904.305558,1,"CS","B2",2.175511052,"B",2,"7","11016"
"3",4804.305558,1,"CS","B2",5.774386702,"B",2,"7","11016"
"4",5704.305558,1,"CS","B2",11.47744126,"B",2,"7","11016"
"5",6604.305558,1,"CS","B2",17.18225083,"B",2,"7","11016"
"6",7504.305558,1,"CS","B2",23.55536775,"B",2,"7","11016"
"7",8404.305558,1,"CS","B2",29.66709082,"B",2,"7","11016"
"8",9304.305558,1,"CS","B2",38.14673344,"B",2,"7","11016"
"9",10204.30556,1,"CS","B2",46.44854541,"B",2,"7","11016"
"10",11104.30556,1,"CS","B2",54.83337202,"B",2,"7","11016"
"11",12004.30556,1,"CS","B2",61.65174315,"B",2,"7","11016"
"12",12904.30556,1,"CS","B2",66.79518638,"B",2,"7","11016"
"13",13804.30556,1,"CS","B2",69.64135048,"B",2,"7","11016"
"14",14704.30556,1,"CS","B2",72.01141041,"B",2,"7","11016"
"15",15604.30556,1,"CS","B2",73.10862672,"B",2,"7","11016"
"16",16504.30556,1,"CS","B2",72.07536361,"B",2,"7","11016"
"17",17404.30556,1,"CS","B2",68.90316086,"B",2,"7","11016"
"18",18304.30556,1,"CS","B2",65.12687039,"B",2,"7","11016"
"19",19204.30556,1,"CS","B2",59.24488619,"B",2,"7","11016"
"20",20104.30556,1,"CS","B2",54.19066847,"B",2,"7","11016"
"21",21004.30556,1,"CS","B2",52.79030712,"B",2,"7","11016"
"22",21904.30556,1,"CS","B2",53.01819181,"B",2,"7","11016"
"23",22804.30556,1,"CS","B2",54.99512705,"B",2,"7","11016"
"24",23704.30556,1,"CS","B2",57.55591727,"B",2,"7","11016"
"25",24604.30556,1,"CS","B2",61.05659793,"B",2,"7","11016"
"26",25504.30556,1,"CS","B2",65.09669761,"B",2,"7","11016"
"27",26404.30556,1,"CS","B2",69.1169945,"B",2,"7","11016"
"28",27304.30556,1,"CS","B2",72.88346121,"B",2,"7","11016"
"29",28204.30556,1,"CS","B2",76.01198302,"B",2,"7","11016"
"30",29104.30556,1,"CS","B2",77.63090121,"B",2,"7","11016"
"31",30004.30556,1,"CS","B2",77.69566937,"B",2,"7","11016"
"32",30904.30556,1,"CS","B2",76.05849048,"B",2,"7","11016"
"33",31804.30556,1,"CS","B2",70.45368685,"B",2,"7","11016"
"34",32704.30556,1,"CS","B2",59.12196241,"B",2,"7","11016"
"35",33604.30556,1,"CS","B2",47.97493698,"B",2,"7","11016"
"36",34504.30556,1,"CS","B2",40.50230557,"B",2,"7","11016"
"37",35404.30556,1,"CS","B2",35.17614425,"B",2,"7","11016"
"38",36304.30556,1,"CS","B2",31.74658692,"B",2,"7","11016"
"39",37204.30556,1,"CS","B2",29.41750911,"B",2,"7","11016"
"40",38104.30556,1,"CS","B2",27.58645301,"B",2,"7","11016"
"41",39004.30556,1,"CS","B2",25.85687867,"B",2,"7","11016"
"42",39904.30556,1,"CS","B2",24.15543582,"B",2,"7","11016"
"43",40804.30556,1,"CS","B2",22.49574544,"B",2,"7","11016"
"44",41704.30556,1,"CS","B2",20.8903047,"B",2,"7","11016"
"45",42604.30556,1,"CS","B2",19.54759557,"B",2,"7","11016"
"46",43504.30556,1,"CS","B2",18.2226234,"B",2,"7","11016"
"47",44404.30556,1,"CS","B2",17.00777864,"B",2,"7","11016"
"48",45304.30556,1,"CS","B2",15.86615224,"B",2,"7","11016"
"49",46204.30556,1,"CS","B2",14.86907866,"B",2,"7","11016"
"50",47104.30556,1,"CS","B2",13.94055589,"B",2,"7","11016"
"51",48004.30556,1,"CS","B2",13.07104788,"B",2,"7","11016"
"52",48904.30556,1,"CS","B2",12.1772172,"B",2,"7","11016"
"53",49804.30556,1,"CS","B2",11.27662325,"B",2,"7","11016"
"54",50704.30556,1,"CS","B2",10.24543242,"B",2,"7","11016"
"55",51604.30556,1,"CS","B2",9.081465339,"B",2,"7","11016"
"56",52504.30556,1,"CS","B2",7.484418172,"B",2,"7","11016"
"57",53404.30556,1,"CS","B2",3.00945367,"B",2,"7","11016"
"58",54304.30556,1,"CS","B2",-4.085469689,"B",2,"7","11016"
"59",55204.30556,1,"CS","B2",-6.338701719,"B",2,"7","11016"
"60",56104.30556,1,"CS","B2",-6.829136049,"B",2,"7","11016"
"61",57004.30556,1,"CS","B2",-7.021810862,"B",2,"7","11016"
"62",57904.30556,1,"CS","B2",-7.196395238,"B",2,"7","11016"
"63",58804.30556,1,"CS","B2",-7.267143603,"B",2,"7","11016"
"64",59704.30556,1,"CS","B2",-7.39972358,"B",2,"7","11016"
"65",60604.30556,1,"CS","B2",-7.520970271,"B",2,"7","11016"
"66",61504.30556,1,"CS","B2",-7.61613955,"B",2,"7","11016"
"67",62404.30556,1,"CS","B2",-7.68602853,"B",2,"7","11016"
"68",63304.30556,1,"CS","B2",-7.851246022,"B",2,"7","11016"
"69",64204.30556,1,"CS","B2",-7.907398177,"B",2,"7","11016"
"70",65104.30556,1,"CS","B2",-8.019694704,"B",2,"7","11016"
"71",66004.30556,1,"CS","B2",-8.072518123,"B",2,"7","11016"
"72",66904.30556,1,"CS","B2",-8.156140703,"B",2,"7","11016"
"73",67804.30556,1,"CS","B2",-8.210805027,"B",2,"7","11016"
"74",68704.30556,1,"CS","B2",-8.264334377,"B",2,"7","11016"
"75",69604.30556,1,"CS","B2",-8.327693029,"B",2,"7","11016"
"76",70504.30556,1,"CS","B2",-8.357491965,"B",2,"7","11016"
"77",71404.30556,1,"CS","B2",-8.453808932,"B",2,"7","11016"
"78",72304.30556,1,"CS","B2",-8.505908683,"B",2,"7","11016"
"79",73204.30556,1,"CS","B2",-8.516586667,"B",2,"7","11016"
"80",74104.30556,1,"CS","B2",-8.631340686,"B",2,"7","11016"
"81",75004.30556,1,"CS","B2",-8.654320745,"B",2,"7","11016"
"82",75904.30556,1,"CS","B2",-8.729918806,"B",2,"7","11016"
"83",76804.30556,1,"CS","B2",-8.740821412,"B",2,"7","11016"
